"es_questionnaire_id","Usage_num_int_all","Usage_sum_duration","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","Usage_quadratic","Nonusage_num_int_all","Nonusage_sum_duration","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","Nonusage_quadratic","user_id","valence"
7,7,1469.8789999485,5.91900014877319,6,1,0,0.948218454761278,6,2130.1210000515,89.4644999504089,4,2,0,0.409076786148961,1030,5
8,9,313.017999887466,6.31700015068054,9,0,0,0.339188913810955,9,3286.98200011253,383.162000179291,3,6,0,0.165686548342263,1030,5
9,7,97.3309998512268,6.01799988746643,7,0,0,0.25592300784438,7,3502.66900014877,337.085000038147,3,4,0,0.232243921209431,1030,5
10,8,127.813000440598,5.97000002861023,8,0,0,0.302989398518455,8,3472.1869995594,184.564499855042,6,1,1,0.45370789377031,1030,5
11,7,183.040999650955,6.12799978256226,7,0,0,0.454208317160286,7,3416.95900034904,352.671000003815,3,4,0,0.247977010326019,1030,5
12,10,517.816999673843,6.06149995326996,10,0,0,0.377867941940625,10,3082.18300032616,218.330500006676,6,4,0,0.129252512022463,1030,4
13,1,2.19199991226196,2.19199991226196,1,0,0,1,1,3597.80800008774,3597.80800008774,0,0,1,1,1030,5
14,4,19.4539997577667,5.94200003147125,4,0,0,0.288016975291599,4,3580.54600024223,1036.09100008011,1,3,0,0.294452048406636,1030,4
15,11,1276.51099967957,59.8389999866486,9,2,0,0.200569278292467,11,2323.48900032043,131.49799990654,9,2,0,0.184384033582225,1030,4
16,6,46.779000043869,5.98649978637695,6,0,0,0.185545164797421,6,3553.22099995613,497.220499873161,2,4,0,0.274294836032202,1030,5
17,4,128.456000089645,28.5670001506805,4,0,0,0.420791133791901,4,3471.54399991035,332.349999785423,2,1,1,0.636214800667226,1030,2
18,1,7.62000012397766,7.62000012397766,1,0,0,1,1,3592.37999987602,3592.37999987602,0,0,1,1,1030,4
19,6,2827.21799993515,9.26799988746643,4,1,1,0.781905589245595,5,772.78200006485,95.9320001602173,4,1,0,0.400239291737371,1030,4
20,1,1.91299986839294,1.91299986839294,1,0,0,1,1,3598.08700013161,3598.08700013161,0,0,1,1,1030,4
21,3,129.605999946594,23.7170000076294,3,0,0,0.494811358477794,3,3470.39400005341,1063.40100002289,0,2,1,0.450561632544741,1030,4
22,7,171.149000406265,5.94099998474121,7,0,0,0.528322476089436,7,3428.85099959373,182.014000177383,4,2,1,0.392822476139172,1030,5
1,5,240.432000160217,14.8610000610352,5,0,0,0.614880401719122,5,3359.56799983978,581.378000020981,1,4,0,0.344311452654347,1034,5
2,2,2410.13899993896,1205.06949996948,1,0,1,0.995256392104452,1,1189.86100006104,1189.86100006104,0,1,0,1,1034,5
3,4,665.376000165939,131.760000109673,3,1,0,0.451304630069408,4,2934.62399983406,656.691000103951,2,2,0,0.472748703365811,1034,5
4,15,1316.5689997673,60.6150002479553,14,1,0,0.19057744240153,14,2283.4310002327,97.538999915123,11,3,0,0.138286283925946,1034,6
5,6,163.226000070572,20.3270001411438,6,0,0,0.285348066749846,6,3436.77399992943,374.042999982834,3,2,1,0.423974869066838,1034,5
6,1,19.8649997711182,19.8649997711182,1,0,0,1,1,3580.13500022888,3580.13500022888,0,0,1,1,1034,5
7,1,71.7420001029968,71.7420001029968,1,0,0,1,1,3528.257999897,3528.257999897,0,0,1,1,1034,4
8,1,86.077999830246,86.077999830246,1,0,0,1,1,3513.92200016975,3513.92200016975,0,0,1,1,1034,4
9,3,28.8069999217987,11.3599998950958,3,0,0,0.414971283874535,3,3571.1930000782,877.451999902725,0,2,1,0.4572390586748,1034,4
10,3,451.439999818802,188.858000040054,3,0,0,0.431556442530158,3,3148.5600001812,1038.54600000381,0,3,0,0.334429728078425,1034,5
11,3,143.430000066757,31.4719998836517,3,0,0,0.414352930837758,3,3456.56999993324,1097.97800016403,0,3,0,0.35135694904302,1034,3
