"TST","Usage_quadratic","Usage_num_int_all","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","TWT","TNST","Nonusage_quadratic","Nonusage_num_int_all","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","user_id","Mean_flour","PA_PANAVA","NA_PANAVA","VA_PANAVA","Mean_SWLS"
10131.6929988861,0.0850003908869112,52,62.1110000014305,45.5,8.5,0.5,16.35,47456.0240013599,0.0736936823792261,51,285.766000032425,28,18,8,341,3.375,1,5.25,1,1.4
12522.5119991302,0.0738008013096209,71,38.3265000581741,60,11,1,15.9666666666667,45944.8539988995,0.0579326377192928,70,259.051249980927,37,23,7,344,6.25,5.75,1.75,6,5.2
16120.1174999475,0.0482147349705277,62.5,72.4515000581741,52.5,13,1,16.6166666666667,43244.9199998379,0.0557054442490973,63,189.256500124931,35,23,7,364,5.375,4,3.75,4,5
7706.40399980545,0.13621630759955,24,128.961999952793,17,5.5,1,16,45916.6670005322,0.12710723219348,25,963.09550011158,6,8,8,365,4.5,4.25,3.5,4.5,4.4
5927.78300023079,0.304312166144357,12,57.4465001821518,7,3,0,15.225,49648.035499692,0.181541692121305,13.5,2104.68999987841,1.5,5.5,6,366,3.75,3,3.25,5,5.2
11563.7210013866,0.0815045939532948,43,77.8932500481606,34,9.5,0,17.2916666666667,48947.2279989719,0.0873220973630294,44,351.236999988556,21,14,8,368,5.625,3.75,3.25,6,5.8
6707.69500041008,0.138910884076143,26.5,117.255500018597,20.5,5,0.5,15.975,51577.4554998875,0.116419314580008,27.5,955.837999939919,9,8.5,10,369,5.75,5.75,2.25,6,3.4
9947.41799986362,0.0891605602927213,73.5,56.2362499833107,68.5,4,1,14.9,44119.7970016003,0.0495634211751613,68,233.848499894142,39,24,6,372,6,6,2,6,5.6
11834.3779995441,0.109679925753724,46,34.3485000133514,41,6,2,16.5833333333333,48084.0099992752,0.188536636556453,47,124.303000092506,28,16,5,373,5,3.25,4.5,4.5,3.6
10991.0350008011,0.0584576500146677,74,7.81375002861023,65,8,0,21.3666666666667,65007.8739991188,0.0668412259264184,73,259.293499946594,38,24,10,376,5.625,5,1.75,4.5,3.8
