"TST","Usage_quadratic","Usage_num_int_all","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","TWT","TNST","Nonusage_quadratic","Nonusage_num_int_all","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","user_id","Mean_flour","PA_PANAVA","NA_PANAVA","VA_PANAVA"
17986.8160004616,0.127377064145891,40,92.3840000629425,33,9,3,14.5,33142.3219988346,0.0694019505439697,41,295.650000095367,20,16,6,1316,3.625,1.75,6,2.5
4385.05700039864,0.139459727292675,25,66.2300000190735,20,5,0,16.6666666666667,54713.6369996071,0.0820945348774185,26,1381.47799992561,5,7,11,1318,5.375,4.25,2.75,4.5
17182.7894977331,0.0528766330340692,98.5,49.1060000658035,81.5,14,1.5,15.25,37767.8190038204,0.0465185526597678,91,144.753500103951,68,25,4,1319,2.625,1.5,6.25,1.5
10532.3140002489,0.131012498793071,55.5,65.5357500314713,48,4.5,1,16.6666666666667,49578.1739990711,0.0538354787638433,48,435.863999962807,20,23,8,132,4.5,4,4.25,4.5
33385.5209994316,0.200547201181224,24,254.211500048637,16,5,5,12.6583333333333,23310.5470005274,0.189678130376349,22,232.81024992466,11.5,7.5,2.5,139,3.5,1.75,5,2.5
10120.6559991837,0.059021904186416,77.5,33.6432500481606,67.5,9.5,0,17.75,51096.7809977531,0.0555336723309693,61,334.118000030518,29,23,9,141,4.375,4,3.25,4.5
10242.606998682,0.0732602373353403,33,119.177999973297,28,8,0,17.1833333333333,50174.7519996166,0.072000170944163,33,640.261249959469,9.5,17.5,7.5,142,4.75,4.25,2.75,5
21142.3114999533,0.110487492108287,42.5,83.7410001754761,33,7.5,4.5,18.8833333333333,48530.2319993973,0.0811919656619516,43,465.837999820709,18,17,7,146,3.5,3.75,3.75,2
23829.8200025558,0.0809460416727472,54,127.290000200272,37,16,3,17.7166666666667,38626.22199893,0.0691438507767471,50.5,274.325750052929,24.5,18.5,6.5,149,5.25,3.25,5,3
12297.4170002937,0.0688876986433829,49,33.2874997854233,39,10,1,15.75,43988.990000248,0.0460488838019277,50,543.480999946594,17,28,5,152,5.5,5.25,3.25,5
16319.8790001869,0.0725488049971171,80,60.715499997139,67.5,9,1.5,16.2583333333333,42038.5669988394,0.0394494791867211,81,196.96950006485,45.5,27,4.5,153,5.25,4.5,4.75,4
10563.3240001202,0.0376061804530951,103,33.1135001778603,94.5,7.5,0,18.05,54526.3740012646,0.032777094852024,102,252.354499936104,56,36,7,155,5,4.5,3.75,5.5
20491.3150007725,0.0613162890644069,47,143.788000106812,30,17,1,17.45,45580.0310013294,0.0653403995927215,42,548.919999837875,16,18,8,156,6.875,6,2,6
11115.3860015869,0.0588244282112962,57,80.9344999790192,47,12,0,15.2666666666667,40946.2619991302,0.043871319858747,58,343.115999937057,26,22,7,158,5.75,5.75,2.75,6
3237.55900001526,0.266117089251327,10,100.478499889374,7,2,0,15.3166666666667,51488.915999651,0.223978561650077,8,2601.0989998579,2,1,6,162,6.375,5.75,1.75,7
10767.0170004368,0.0394622022540713,103,41.0830000638962,93,10,0,16.9083333333333,49077.8369998932,0.0363221710864744,102,194.37299990654,59.5,36,6,169,4.25,3.5,3.25,4
13742.9714992046,0.0483284193065851,61.5,92.0219999551773,49,10.5,1,16.25,47318.648999691,0.0428493758264179,61,360.533499956131,27,25,8,171,6.5,4.75,2.25,3.5
39829.1060013771,0.0474085502429279,72,146.75150001049,46,18,7,15.9916666666667,18293.6785000563,0.0283871849772096,71.5,192.780250072479,50.5,22,0,176,1,1,7,1
13515.4429996014,0.0531095644378058,87,72.0709998607635,76,10,1,17.8333333333333,50584.4960005283,0.0325385864455904,88,274.316500067711,46,38,4,180,5,5.5,3,6
9624.86299848557,0.0479351960728029,61,39.613499879837,57,7,0,18.675,53726.5524994135,0.049133659538059,73.5,334.951750099659,32,28.5,6,182,6.125,4.75,3.5,6
2634.25949978828,0.120302193960645,32,34.1722500324249,31,1,0,18.7833333333333,62899.4670011997,0.0801723384884172,33,918.257500052452,8,11,11,184,5.125,3.25,5,3.5
4579.39899992943,0.130664811861239,27,63.3585000038147,24,2,0,17.35,59770.2700006962,0.148947452437545,22,1102.56650006771,5,8,10,185,5.375,5.75,2.25,6
25490.9034997225,0.0800061417019898,28,603.37450003624,12,14.5,2.5,16.9166666666667,37614.2860007286,0.0885686093029059,26,498.43700003624,9,12,5,189,5,5,3,5.5
18744.4350008965,0.144226423715234,37,60.9370002746582,28,4,4,17.1666666666667,43389.0850002766,0.0791434410146094,37,563.93649995327,10,17,7,190,4.375,5,3.25,5.5
10023.4295004606,0.125026455235078,51,23.1762501001358,38,6.5,1.5,18.425,55573.2974998951,0.0730449839491261,52,327.815999865532,26,15.5,9.5,194,4.75,3.5,5,4
8889.46650242805,0.0405676132805659,126.5,16.1454999446869,120.5,6.5,0,16.6333333333333,51346.9040019512,0.0299219188203205,121,149.318999886513,80,32,7,196,6,5.5,2.5,6
